date,county,fips,place,confirmed_cases,note,x,y,log_cases,category,ordinal_cat
2020-10-23,Nevada,57.0,95602,20,,-121.09142,38.976837,2.995732273553991,1,1
2020-10-25,Los Angeles,37.0,Unincorporated - Palmdale,20,,-118.01568799999998,34.614211,2.995732273553991,1,1
2020-10-25,Los Angeles,37.0,Bradbury,20,,-117.968387,34.153532,2.995732273553991,1,1
2020-10-25,San Diego,73.0,Borrego Springs,20,,-116.423024,33.25489,2.995732273553991,1,1
2020-10-25,Santa Clara,85.0,Monte Sereno,20,,-121.989444,37.238056,2.995732273553991,1,1
2020-10-23,Marin,41.0,Belvedere,20,,-122.464498,37.872669,2.995732273553991,1,1
2020-10-23,Fresno,19.0,Squaw Valley,20,,-119.246779,36.740263,2.995732273553991,1,1
2020-10-25,Los Angeles,37.0,Littlerock/Juniper Hills,21,,-117.919259,34.463499,3.044522437723423,1,1
2020-10-23,Napa,55.0,South Napa Area,21,,-122.3163,38.1997,3.044522437723423,1,1
2020-10-25,Los Angeles,37.0,Del Sur,21,,-118.284121,34.764411,3.044522437723423,1,1
2020-10-25,Los Angeles,37.0,Anaverde,21,,-118.133856,34.535644,3.044522437723423,1,1
2020-10-23,San Luis Obispo,79.0,Creston,22,,-120.5238,35.5187,3.091042453358316,1,1
2020-10-25,Santa Cruz,87.0,Ben Lomond,22,,-122.083611,37.08277800000001,3.091042453358316,1,1
2020-10-25,San Diego,73.0,Warner Springs,22,,-116.63361100000002,33.282222,3.091042453358316,1,1
2020-10-24,Mono,51.0,North and Central Region,22,,-119.009312,38.016591,3.091042453358316,1,1
2020-10-23,Lake,33.0,95467,22,,-122.53498,38.79255,3.091042453358316,1,1
2020-06-09,Tulare,107.0,Ivanhoe,22,,-119.224883,36.399684,3.091042453358316,1,1
2020-10-25,Los Angeles,37.0,West Rancho Dominguez,22,,-118.262956,33.890237,3.091042453358316,1,1
2020-08-17,Yuba,115.0,Plumas Lake & Wheatland,22,,-121.429152,39.011038,3.091042453358316,1,1
2020-10-23,Fresno,19.0,Friant,22,,-119.711944,36.98777800000001,3.091042453358316,1,1
